Headline,URL
Denuncian que exponiendo niños indígenas para pedir limosna en El Poblado están recogiendo hasta $400.000 diarios,https://www.elcolombiano.com/medellin/medellin/denuncian-que-exponiendo-ninos-indigenas-para-pedir-limosna-en-el-poblado-pueden-recoger-hasta-400000-diarios-OC25414291
¡Buena noticia! La SAE bajará los arriendos en Medellín hasta el estrato 4,https://www.elcolombiano.com/medellin/medellin
Al barrio Carlos E. Restrepo por fin volvió la oferta cultural los fines de semana,https://www.elcolombiano.com/medellin/medellin
Este es el pico y placa en Medellín para este viernes 13 de septiembre,https://www.elcolombiano.com/medellin/medellin
Medellín: hallaron muerto a un ciudadano israelí en un apartamento en El Poblado,https://www.elcolombiano.com/medellin/medellin
“EPM no ha solicitado intervenir Afinia”: Gerente Salazar tras medidas para toma de Air-e,https://www.elcolombiano.com/medellin/medellin
Gobierno Petro y alcaldía Gutiérrez por fin sellaron alianza para combatir el hambre y ofrecer oportunidades a jóvenes en Medellín,https://www.elcolombiano.com/medellin/medellin/federico-gutierrez-y-gustavo-bolivar-se-reunen-acuerdan-combatir-el-hambre-y-apoyar-a-los-jovenes-medellin-OC25414093
No paran los operativos en Las Palmas: sancionaron a 36 conductores por tomarse de autódromo esta vía,https://www.elcolombiano.com/medellin/medellin/operativos-las-palmas-medellin-miercoles-por-la-noche-CC25412176
Qué inseguridad: un ladrón abrió un carro de la Alcaldía en el Parque Lleras y se llevó varias pertenencias,https://www.elcolombiano.com/medellin/medellin/carro-alcaldia-medellin-fue-robado-por-un-hombre-parque-lleras-IC25412596
Concurso en Medellín busca a los mejores fotógrafos para retratar el patrimonio arquitectónico de la ciudad,https://www.elcolombiano.com/medellin/medellin/concurso-fotografia-arquitectura-medellin-JC25411844
En San Cristóbal suspendieron la construcción de una carretera pirata que estaba acabando con una reserva natural,https://www.elcolombiano.com/medellin/medellin/suspendieron-carretera-pirata-construida-en-san-cristobal-medellin-GC25411623
“EPM no ha solicitado intervenir Afinia”: Gerente Salazar tras medidas para toma de Air-e,https://www.elcolombiano.com/medellin/medellin/crisis-empresas-de-energia-afinia-y-epm-BC25411213
Víctimas del conflicto que llegan a Medellín tendrán una finca como albergue temporal,https://www.elcolombiano.com/medellin/medellin/atencion-a-victimas-del-conflicto-medellin-AD25409328
Revise el pico y placa en Medellín antes de salir de casa y recuerde que este jueves 12 de septiembre hay paro de taxistas,https://www.elcolombiano.com/medellin/medellin/pico-y-placa-medellin-jueves-12-septiembre-PD25408124
Cuidado con los trancones: este jueves habrá paro de taxistas en Medellín y otras 5 ciudades,https://www.elcolombiano.com/medellin/colombia/este-jueves-habra-paro-de-taxistas-LD25406904
